ncr_id,date_raised,supplier_id,component_id,process,defect_category,description,quantity_affected,severity,detection_method,containment_status,root_cause_status,corrective_action_status,verification_status,closure_status,closure_date
NCR-2026-020,2026-05-05,SUP-004,CMP-106,CNC Milling,Positional tolerance,"Oil port position outside tolerance on one body. Part rejected, remaining batch 100% checked and accepted.",1,Minor,CMM inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-05-19
NCR-2026-021,2026-05-15,SUP-001,CMP-101,CNC Turning,Dimensional deviation,"Three further journal diameters above the upper specification limit, inspected on 5, 12 and 14 May, on material produced before the revised control plan took effect. All three were detected by the 100% containment inspection introduced under NCR-2026-018. Raised separately to keep the affected batches traceable and to record that containment was working as intended.",3,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-06-26
NCR-2026-022,2026-05-19,SUP-003,CMP-102,CNC Milling,Visual defect,"Cosmetic scoring on the external housing face. Accepted under concession, supplier notified.",8,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-06-02
NCR-2026-023,2026-05-26,SUP-002,CMP-103,CNC Milling,Dimensional deviation,Hub thickness measured below the lower specification limit on one impeller.,1,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-07-10
NCR-2026-024,2026-06-02,SUP-004,CMP-104,Cylindrical Grinding,Burr,Burr at the bore exit across one carrier batch. Deburred and re-inspected.,5,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-06-16
NCR-2026-025,2026-06-09,SUP-003,CMP-102,CNC Milling,Material issue,Third occurrence of casting porosity on this component within the reporting period. Escalated to a supplier corrective action request.,5,Major,Goods-in inspection,Complete,Confirmed,In progress,Not started,Open,
NCR-2026-026,2026-06-16,SUP-005,CMP-105,Cylindrical Grinding,Visual defect,"Handling damage on spline flanks, second occurrence following NCR-2026-012. Packaging method reviewed.",4,Minor,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-07-24
NCR-2026-027,2026-06-23,SUP-002,CMP-101,CNC Turning,Surface finish,"Journal surface finish above requirement on second-source shafts, repeat of NCR-2026-011.",3,Major,Goods-in inspection,Complete,Confirmed,In progress,Not started,Open,
NCR-2026-028,2026-06-30,SUP-004,CMP-106,CNC Milling,Assembly interface,Oil pump body mounting face flatness causing a gasket seating concern at build.,2,Major,Assembly build check,Complete,Confirmed,In progress,Not started,Open,
NCR-2026-029,2026-07-07,SUP-003,CMP-106,CNC Milling,Visual defect,"Machining witness marks on a visible face. Accepted under concession, no functional impact identified.",7,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-07-20
NCR-2026-030,2026-07-14,SUP-001,CMP-104,Cylindrical Grinding,Surface finish,Bore surface finish above the drawing requirement on two carriers. Investigation ongoing.,2,Minor,Goods-in inspection,Complete,Under investigation,Not started,Not started,Open,
NCR-2026-031,2026-07-21,SUP-002,CMP-103,CNC Milling,Surface finish,"Hub face roughness above the drawing requirement, third occurrence of this condition. Investigation ongoing.",4,Major,Goods-in inspection,Complete,Under investigation,Not started,Not started,Open,
NCR-2026-032,2026-07-29,SUP-004,CMP-104,Cylindrical Grinding,Dimensional deviation,Carrier bore diameter above the upper specification limit on one part. Containment in progress.,1,Major,CMM inspection,In progress,Not started,Not started,Not started,Open,
