inspection_id,inspection_date,supplier_id,component_id,process,characteristic,nominal,lsl,usl,unit,measured_value,in_spec,defect_flag,defect_category,severity,detection_method,batch_id
INS-00008,2026-01-07,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0012,1,0,,,Goods-in inspection,B-101-001-W01
INS-00009,2026-01-07,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9987,1,0,,,Goods-in inspection,B-101-001-W01
INS-00022,2026-01-07,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0101,1,0,,,Goods-in inspection,B-102-003-W01
INS-00023,2026-01-07,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0323,1,0,,,Goods-in inspection,B-102-003-W01
INS-00031,2026-01-07,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9888,1,0,,,Goods-in inspection,B-103-002-W01
INS-00039,2026-01-07,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9948,1,0,,,Goods-in inspection,B-104-004-W01
INS-00045,2026-01-07,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9925,1,0,,,Goods-in inspection,B-104-001-W01
INS-00051,2026-01-07,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0026,1,0,,,Goods-in inspection,B-105-005-W01
INS-00052,2026-01-07,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.005,1,0,,,Goods-in inspection,B-105-005-W01
INS-00059,2026-01-07,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0186,1,0,,,Goods-in inspection,B-106-004-W01
INS-00060,2026-01-07,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0212,1,0,,,Goods-in inspection,B-106-004-W01
INS-00066,2026-01-07,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9779,1,0,,,Goods-in inspection,B-106-003-W01
INS-00010,2026-01-08,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9999,1,0,,,Goods-in inspection,B-101-001-W01
INS-00011,2026-01-08,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9984,1,0,,,Goods-in inspection,B-101-001-W01
INS-00012,2026-01-08,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9995,1,0,,,Goods-in inspection,B-101-001-W01
INS-00017,2026-01-08,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.004,1,0,,,Goods-in inspection,B-101-002-W01
INS-00024,2026-01-08,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0375,1,0,,,Goods-in inspection,B-102-003-W01
INS-00025,2026-01-08,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9911,1,0,,,Goods-in inspection,B-102-003-W01
INS-00032,2026-01-08,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0099,1,0,,,Goods-in inspection,B-103-002-W01
INS-00033,2026-01-08,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0019,1,0,,,Goods-in inspection,B-103-002-W01
INS-00040,2026-01-08,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9955,1,0,,,Goods-in inspection,B-104-004-W01
INS-00041,2026-01-08,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0036,1,0,,,Goods-in inspection,B-104-004-W01
INS-00046,2026-01-08,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0114,1,0,,,Goods-in inspection,B-104-001-W01
INS-00053,2026-01-08,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9921,1,0,,,Goods-in inspection,B-105-005-W01
INS-00054,2026-01-08,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9984,1,0,,,Goods-in inspection,B-105-005-W01
INS-00061,2026-01-08,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9921,1,0,,,Goods-in inspection,B-106-004-W01
INS-00067,2026-01-08,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9974,1,0,,,Goods-in inspection,B-106-003-W01
INS-00013,2026-01-09,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0033,1,0,,,Goods-in inspection,B-101-001-W01
INS-00014,2026-01-09,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9974,1,0,,,Goods-in inspection,B-101-001-W01
INS-00026,2026-01-09,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0133,1,0,,,Goods-in inspection,B-102-003-W01
INS-00034,2026-01-09,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0012,1,0,,,Goods-in inspection,B-103-002-W01
INS-00042,2026-01-09,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.991,1,0,,,Goods-in inspection,B-104-004-W01
INS-00055,2026-01-09,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0069,1,0,,,Goods-in inspection,B-105-005-W01
INS-00062,2026-01-09,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9917,1,0,,,Goods-in inspection,B-106-004-W01
INS-00068,2026-01-09,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0133,1,0,,,Goods-in inspection,B-106-003-W01
INS-00069,2026-01-12,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0029,1,0,,,Goods-in inspection,B-101-001-W02
INS-00070,2026-01-12,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0013,1,0,,,Goods-in inspection,B-101-001-W02
INS-00071,2026-01-12,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9994,1,0,,,Goods-in inspection,B-101-001-W02
INS-00083,2026-01-12,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9971,1,0,,,Goods-in inspection,B-101-002-W02
INS-00086,2026-01-12,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.018,1,0,,,Goods-in inspection,B-102-003-W02
INS-00087,2026-01-12,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9993,1,0,,,Goods-in inspection,B-102-003-W02
INS-00095,2026-01-12,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0018,1,1,Surface finish,Minor,Final inspection,B-103-002-W02
INS-00096,2026-01-12,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0057,1,0,,,Goods-in inspection,B-103-002-W02
INS-00103,2026-01-12,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9926,1,0,,,Goods-in inspection,B-104-004-W02
INS-00104,2026-01-12,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.996,1,0,,,Goods-in inspection,B-104-004-W02
INS-00111,2026-01-12,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0028,1,0,,,Goods-in inspection,B-104-001-W02
INS-00115,2026-01-12,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9956,1,0,,,Goods-in inspection,B-105-005-W02
INS-00116,2026-01-12,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0025,1,0,,,Goods-in inspection,B-105-005-W02
INS-00124,2026-01-12,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0109,1,0,,,Goods-in inspection,B-106-004-W02
INS-00125,2026-01-12,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9981,1,0,,,Goods-in inspection,B-106-004-W02
INS-00131,2026-01-12,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0051,1,0,,,Goods-in inspection,B-106-003-W02
INS-00132,2026-01-12,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9888,1,0,,,Goods-in inspection,B-106-003-W02
INS-00072,2026-01-13,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9968,1,0,,,Goods-in inspection,B-101-001-W02
INS-00073,2026-01-13,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9942,1,0,,,Goods-in inspection,B-101-001-W02
INS-00074,2026-01-13,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9906,1,0,,,Goods-in inspection,B-101-001-W02
INS-00084,2026-01-13,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0099,1,0,,,Goods-in inspection,B-101-002-W02
INS-00088,2026-01-13,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0082,1,0,,,Goods-in inspection,B-102-003-W02
INS-00089,2026-01-13,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9969,1,0,,,Goods-in inspection,B-102-003-W02
INS-00097,2026-01-13,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0046,1,0,,,Goods-in inspection,B-103-002-W02
INS-00098,2026-01-13,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9995,1,0,,,Goods-in inspection,B-103-002-W02
INS-00105,2026-01-13,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9965,1,0,,,Goods-in inspection,B-104-004-W02
INS-00106,2026-01-13,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9989,1,0,,,Goods-in inspection,B-104-004-W02
INS-00112,2026-01-13,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0099,1,0,,,Goods-in inspection,B-104-001-W02
INS-00117,2026-01-13,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0006,1,0,,,Goods-in inspection,B-105-005-W02
INS-00118,2026-01-13,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.001,1,0,,,Goods-in inspection,B-105-005-W02
INS-00126,2026-01-13,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0006,1,0,,,Goods-in inspection,B-106-004-W02
INS-00133,2026-01-13,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9954,1,0,,,Goods-in inspection,B-106-003-W02
INS-00075,2026-01-14,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0038,1,0,,,Goods-in inspection,B-101-001-W02
INS-00076,2026-01-14,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0133,1,0,,,Goods-in inspection,B-101-001-W02
INS-00077,2026-01-14,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9964,1,0,,,Goods-in inspection,B-101-001-W02
INS-00090,2026-01-14,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0101,1,0,,,Goods-in inspection,B-102-003-W02
INS-00091,2026-01-14,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9969,1,0,,,Goods-in inspection,B-102-003-W02
INS-00099,2026-01-14,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0015,1,0,,,Goods-in inspection,B-103-002-W02
INS-00107,2026-01-14,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9952,1,0,,,Goods-in inspection,B-104-004-W02
INS-00113,2026-01-14,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0039,1,0,,,Goods-in inspection,B-104-001-W02
INS-00119,2026-01-14,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9963,1,0,,,Goods-in inspection,B-105-005-W02
INS-00120,2026-01-14,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0099,1,0,,,Goods-in inspection,B-105-005-W02
INS-00127,2026-01-14,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9993,1,0,,,Goods-in inspection,B-106-004-W02
INS-00128,2026-01-14,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9896,1,0,,,Goods-in inspection,B-106-004-W02
INS-00134,2026-01-14,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9922,1,0,,,Goods-in inspection,B-106-003-W02
INS-00078,2026-01-15,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9965,1,0,,,Goods-in inspection,B-101-001-W02
INS-00079,2026-01-15,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0038,1,0,,,Goods-in inspection,B-101-001-W02
INS-00080,2026-01-15,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0066,1,0,,,Goods-in inspection,B-101-001-W02
INS-00085,2026-01-15,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0029,1,0,,,Goods-in inspection,B-101-002-W02
INS-00092,2026-01-15,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.006,1,0,,,Goods-in inspection,B-102-003-W02
INS-00093,2026-01-15,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.981,1,0,,,Goods-in inspection,B-102-003-W02
INS-00100,2026-01-15,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9906,1,0,,,Goods-in inspection,B-103-002-W02
INS-00101,2026-01-15,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9935,1,0,,,Goods-in inspection,B-103-002-W02
INS-00108,2026-01-15,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9989,1,0,,,Goods-in inspection,B-104-004-W02
INS-00109,2026-01-15,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0115,1,0,,,Goods-in inspection,B-104-004-W02
INS-00114,2026-01-15,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9929,1,0,,,Goods-in inspection,B-104-001-W02
INS-00121,2026-01-15,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9951,1,1,Surface finish,Minor,Goods-in inspection,B-105-005-W02
INS-00122,2026-01-15,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0013,1,0,,,Goods-in inspection,B-105-005-W02
INS-00129,2026-01-15,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0207,1,0,,,Goods-in inspection,B-106-004-W02
INS-00135,2026-01-15,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9951,1,0,,,Goods-in inspection,B-106-003-W02
INS-00081,2026-01-16,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.003,1,0,,,Goods-in inspection,B-101-001-W02
INS-00082,2026-01-16,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0062,1,0,,,Goods-in inspection,B-101-001-W02
INS-00094,2026-01-16,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0075,1,0,,,Goods-in inspection,B-102-003-W02
INS-00102,2026-01-16,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9992,1,0,,,Goods-in inspection,B-103-002-W02
INS-00110,2026-01-16,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0105,1,0,,,Goods-in inspection,B-104-004-W02
INS-00123,2026-01-16,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9926,1,0,,,Goods-in inspection,B-105-005-W02
INS-00130,2026-01-16,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0055,1,0,,,Goods-in inspection,B-106-004-W02
INS-00136,2026-01-16,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0017,1,0,,,Goods-in inspection,B-106-003-W02
INS-00137,2026-01-19,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0135,1,0,,,Goods-in inspection,B-101-001-W03
INS-00138,2026-01-19,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0017,1,0,,,Goods-in inspection,B-101-001-W03
INS-00139,2026-01-19,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9977,1,0,,,Goods-in inspection,B-101-001-W03
INS-00151,2026-01-19,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9951,1,0,,,Goods-in inspection,B-101-002-W03
INS-00154,2026-01-19,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9866,1,0,,,Goods-in inspection,B-102-003-W03
INS-00155,2026-01-19,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0147,1,0,,,Goods-in inspection,B-102-003-W03
INS-00163,2026-01-19,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0075,1,0,,,Goods-in inspection,B-103-002-W03
INS-00164,2026-01-19,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9928,1,0,,,Goods-in inspection,B-103-002-W03
INS-00171,2026-01-19,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9991,1,0,,,Goods-in inspection,B-104-004-W03
INS-00172,2026-01-19,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0058,1,0,,,Goods-in inspection,B-104-004-W03
INS-00179,2026-01-19,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0082,1,0,,,Goods-in inspection,B-104-001-W03
INS-00183,2026-01-19,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9944,1,0,,,Goods-in inspection,B-105-005-W03
INS-00184,2026-01-19,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0011,1,0,,,Goods-in inspection,B-105-005-W03
INS-00192,2026-01-19,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9952,1,0,,,Goods-in inspection,B-106-004-W03
INS-00193,2026-01-19,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0143,1,0,,,Goods-in inspection,B-106-004-W03
INS-00199,2026-01-19,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.002,1,0,,,Goods-in inspection,B-106-003-W03
INS-00200,2026-01-19,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9909,1,0,,,Goods-in inspection,B-106-003-W03
INS-00140,2026-01-20,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0053,1,0,,,Goods-in inspection,B-101-001-W03
INS-00141,2026-01-20,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0008,1,0,,,Goods-in inspection,B-101-001-W03
INS-00142,2026-01-20,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0,1,0,,,Goods-in inspection,B-101-001-W03
INS-00152,2026-01-20,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9978,1,0,,,Goods-in inspection,B-101-002-W03
INS-00156,2026-01-20,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9953,1,0,,,Goods-in inspection,B-102-003-W03
INS-00157,2026-01-20,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9991,1,0,,,Goods-in inspection,B-102-003-W03
INS-00165,2026-01-20,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0026,1,0,,,Goods-in inspection,B-103-002-W03
INS-00166,2026-01-20,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0156,1,0,,,Goods-in inspection,B-103-002-W03
INS-00173,2026-01-20,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9985,1,0,,,Goods-in inspection,B-104-004-W03
