action_id,ncr_id,root_cause,immediate_containment,corrective_action,preventive_action,owner,due_date,status,verification_method,verification_result,closure_date
CA-013,NCR-2026-013,Boring bar deflection under a worn insert produced an oversized bore on the last part of the run.,Part rejected. Remaining housings 100% CMM checked.,Insert change point defined by part count for the boring operation and added to the control plan.,Insert life defined by part count for the other bored features on this component.,M. Okoro (Manufacturing Engineer),2026-05-08,Complete,CMM bore measurement on all housings in the next three deliveries.,Effective - all measured bores within tolerance.,2026-05-22
CA-014,NCR-2026-014,"Initial assessment attributed the upward trend to normal tool wear within the existing offset correction practice. This was later shown to be incomplete, see CA-018.",Journal diameter recorded and trended on every incoming shaft rather than on a sample.,Supplier asked to tighten the tool offset correction frequency for the finish turning operation.,Trend review of the journal diameter added to the weekly incoming quality review.,A. Reed (Supplier Quality Engineer),2026-04-24,Complete,Review of journal diameter trend over the following three weeks.,"Not effective - the mean continued to rise and parts subsequently fell outside specification, leading to NCR-2026-018. The investigation was reopened at a deeper level.",2026-06-05
CA-015,NCR-2026-015,"Carrier outer diameter was at the top of its tolerance while the mating housing bore was at the bottom of its own, producing an interference at the tolerance stack extreme.",Three affected assemblies held and the carriers replaced from an alternative batch.,Tolerance stack for the interface reviewed and the carrier outer diameter target moved to mid-tolerance.,Interface tolerance stacks reviewed for the other two press-fit joints in the centre housing.,T. Fenwick (Manufacturing Engineering),2026-05-22,Complete,Measured fit check on ten assemblies at build.,Effective - all ten assemblies within the intended interference range.,2026-05-29
CA-018,NCR-2026-018,"A finish turning insert grade change was introduced in February without re-validating tool life. The control plan still specified first-off and last-off inspection only, based on the previous insert's wear behaviour, so progressive wear moved the journal diameter toward the upper specification limit between offset corrections and no in-process check existed to detect it.",Two suspect batches quarantined at goods-in and returned to the supplier. 100% inspection of journal diameter introduced on all incoming shafts and at supplier final inspection. Stock on hand re-measured and segregated.,Supplier reverted to the validated insert grade and re-established the tool life limit for the finish turning operation. Control plan updated to require an in-process journal diameter check every fifth part and a tool offset correction at a defined cumulative part count.,"Change control procedure extended so that any tooling or consumable change affecting a critical characteristic requires tool life re-validation and a control plan review before release. The same review was applied to the other critical rotating characteristics from this supplier, and SPC monitoring with a documented reaction plan was introduced at the supplier for the journal diameter.",A. Reed (Supplier Quality Engineer),2026-05-15,Complete,"Individuals and moving range chart plus a capability study on eleven weeks of post-change inspection data, compared against the pre-change period, together with a review of repeat NCR activity for the same supplier, component and defect category.",Effective - see the verification analysis in the application for the measured before and after values.,2026-06-26
CA-019,NCR-2026-019,"Coolant concentration had fallen below the specified range, reducing heat removal during grinding and producing localised burn.",Two affected parts rejected. Remaining stock etch-inspected for burn.,Coolant concentration check added to the daily machine start-up routine with a recorded reading.,Daily coolant checks introduced across all grinding machines at the supplier.,T. Fenwick (Manufacturing Engineering),2026-06-05,Complete,Etch inspection of a sample from each of the next three deliveries.,Effective - no burn indications in the three deliveries checked.,2026-06-19
CA-021,NCR-2026-021,Same root cause as NCR-2026-018. This NCR covers the additional material produced before the corrective action took effect and is closed against the same corrective action.,Affected batches quarantined and returned. 100% inspection maintained until the corrective action was verified.,"Covered by CA-018. No separate corrective action raised, as raising a second action against the same cause would fragment the verification evidence.",Covered by CA-018.,A. Reed (Supplier Quality Engineer),2026-05-15,Complete,Verified together with CA-018 using the post-change control chart and capability study.,Effective - no further dimensional non-conformances on this component and supplier after the change.,2026-06-26
CA-023,NCR-2026-023,Hub thickness was machined to the low side of tolerance following a fixture shim change that was not re-qualified with a first-off measurement.,Affected impeller rejected. Remaining batch 100% inspected.,First-off measurement required and recorded after any fixture shim or packing change.,First-off requirement after fixture changes applied to all critical thickness features in the cell.,M. Okoro (Manufacturing Engineer),2026-06-26,Complete,First-off records audited for the next four production runs.,Effective - first-off measurements recorded and within tolerance on all four runs.,2026-07-10
CA-025,NCR-2026-025,"Porosity has now occurred three times on this component from the same pattern. The earlier gating change under CA-001 addressed the bore region only, and the current findings are at a different location, so the pattern is being re-assessed as a whole.",Batch quarantined. 100% inspection after rough machining maintained on all deliveries of this component.,"Full pattern and gating review with the supplier's foundry, including a solidification assessment. Work in progress at the reporting date.",Pending completion of the pattern review. A supplier process audit has been scheduled.,A. Reed (Supplier Quality Engineer),2026-07-17,In progress,Inspection after rough machining on five consecutive batches once the revised pattern is released.,Not yet verified - corrective action not complete at the reporting date and now past its due date.,
CA-026,NCR-2026-026,"Parts were transported in a returnable container without individual separation, allowing flank-to-flank contact in transit.","Affected parts cleaned, re-inspected and accepted.",Packaging specification updated to require individual part separators in the returnable container.,Packaging specifications reviewed for the other ground components from this supplier.,J. Lindqvist (Quality Inspection Lead),2026-07-14,Complete,Visual inspection at goods-in on three consecutive deliveries in the revised packaging.,Effective - no handling damage found in the three deliveries checked.,2026-07-24
CA-027,NCR-2026-027,The part-specific turning parameters issued under CA-011 were applied to one machine at the supplier but the part was subsequently run on a second machine that still held the generic parameters.,Affected shafts rejected. 100% surface finish inspection applied at goods-in.,Part-specific parameters loaded and verified on all machines capable of running the part. Work in progress at the reporting date.,Pending completion. Intended action is a check that process parameters are controlled per part rather than per machine at this supplier.,A. Reed (Supplier Quality Engineer),2026-07-31,In progress,"Surface finish measurement on all shafts from the next three deliveries, recording which machine produced them.",Not yet verified - corrective action not complete at the reporting date and now past its due date.,
CA-028,NCR-2026-028,"Mounting face flatness is not currently a controlled characteristic on the drawing, so it was never measured at inspection despite affecting gasket seating.",Affected bodies held at build. Flatness measured on all bodies in stock.,"Flatness added as a controlled characteristic with a defined tolerance, and added to the control plan and inspection routine. Drawing change in progress at the reporting date.",Review of other gasket-sealed faces across the lubrication system to confirm flatness is specified where it affects function.,T. Fenwick (Manufacturing Engineering),2026-08-21,In progress,Flatness measurement on all bodies from the first three deliveries after the drawing change is released.,Not yet verified - corrective action in progress and not yet due.,
